City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Saldanha,ZA,2021-07-14 02:10:08,-33.0117,17.9442,49.46,69,42,4.81
201,Ballina,AU,2021-07-14 02:10:09,-28.8667,153.5667,71.78,55,93,8.34
202,Tessalit,ML,2021-07-14 02:10:09,20.1986,1.0114,90.19,8,0,5.19
203,Nome,US,2021-07-14 02:10:09,64.5011,-165.4064,58.15,71,90,5.75
204,Poya,NC,2021-07-14 02:10:10,-21.35,165.15,73.74,46,0,8.99
205,Am Timan,TD,2021-07-14 02:10:10,11.0297,20.2827,73.2,86,100,4.38
206,Alice Springs,AU,2021-07-14 02:06:47,-23.7,133.8833,78.35,21,6,11.99
207,Yaan,NG,2021-07-14 02:10:10,7.3833,8.5667,71.4,95,100,6.24
208,Ribeira Grande,PT,2021-07-14 02:10:10,38.5167,-28.7,70.03,82,57,13.87
209,Guerrero Negro,MX,2021-07-14 02:10:11,27.9769,-114.0611,73.04,71,15,14.41
210,Paracuru,BR,2021-07-14 02:10:11,-3.41,-39.0306,80.62,81,96,12.24
211,Formosa,AR,2021-07-14 02:10:12,-26.1775,-58.1781,69.78,78,34,4.61
212,Kamen-Rybolov,RU,2021-07-14 02:10:12,44.7481,132.0403,79.07,66,62,15.28
213,Khandyga,RU,2021-07-14 02:10:12,62.6667,135.6,77.11,36,2,5.17
214,Saint George,US,2021-07-14 02:06:48,37.1041,-113.5841,102.63,20,1,3.0
215,Inta,RU,2021-07-14 02:10:13,66.0317,60.1659,53.02,55,14,2.68
216,Hamilton,US,2021-07-14 02:10:13,39.1834,-84.5333,74.12,93,40,0.0
217,Afua,BR,2021-07-14 02:10:13,-0.1567,-50.3867,74.62,92,6,4.92
218,Jieshi,CN,2021-07-14 02:10:13,22.8134,115.8257,93.94,71,99,5.61
219,Helong,CN,2021-07-14 02:10:14,42.5397,128.9972,85.41,59,100,4.21
220,Birjand,IR,2021-07-14 02:10:14,32.8663,59.2211,75.09,23,0,8.21
221,Tuatapere,NZ,2021-07-14 02:10:14,-46.1333,167.6833,47.79,86,100,11.01
222,Port Keats,AU,2021-07-14 02:10:15,-14.25,129.55,86.94,28,99,3.65
223,Basse-Pointe,MQ,2021-07-14 02:10:15,14.8695,-61.115,79.84,38,21,12.75
224,Suntar,RU,2021-07-14 02:10:15,62.1444,117.6319,80.82,40,1,3.98
225,Russell,US,2021-07-14 02:10:16,32.3502,-85.1999,80.2,90,40,0.0
226,Manta,EC,2021-07-14 02:10:16,-0.95,-80.7333,73.18,83,90,8.05
227,Pangnirtung,CA,2021-07-14 02:10:16,66.1451,-65.7125,43.77,98,100,5.35
228,Arcachon,FR,2021-07-14 02:10:16,44.5875,-1.0519,62.92,88,75,6.91
229,Westport,US,2021-07-14 02:10:17,41.1415,-73.3579,71.62,95,90,5.99
230,Mishelevka,RU,2021-07-14 02:10:17,52.8575,103.1719,59.16,98,100,7.96
231,Hami,CN,2021-07-14 02:10:17,42.8,93.45,86.79,17,6,10.98
232,Touros,BR,2021-07-14 02:10:17,-5.1989,-35.4608,77.9,84,92,12.15
233,Wahiawa,US,2021-07-14 02:10:18,21.5028,-158.0236,82.72,62,75,11.5
234,Orlik,RU,2021-07-14 02:10:18,52.5178,99.825,60.73,71,100,2.1
235,Rio Grande,BR,2021-07-14 02:10:18,-32.035,-52.0986,58.95,92,100,8.1
236,Stokmarknes,NO,2021-07-14 02:10:18,68.5646,14.9108,56.5,92,51,5.7
237,Yenagoa,NG,2021-07-14 02:10:19,4.9247,6.2642,73.83,93,89,4.05
238,Kavaratti,IN,2021-07-14 02:10:19,10.5669,72.642,82.94,80,100,20.22
239,Sakakah,SA,2021-07-14 02:10:19,29.9697,40.2064,84.83,29,1,8.46
240,Bowen,AU,2021-07-14 02:10:19,-20.0167,148.2333,73.33,78,46,12.66
241,Osa,RU,2021-07-14 02:10:20,57.2829,55.4567,53.47,68,4,3.56
242,Hithadhoo,MV,2021-07-14 02:10:20,-0.6,73.0833,81.75,75,15,5.3
243,Tucuma,BR,2021-07-14 02:10:20,-0.1833,-50.05,75.2,91,9,5.84
244,Arona,ES,2021-07-14 02:10:20,28.0996,-16.681,68.02,68,0,3.44
245,Patnos,TR,2021-07-14 02:10:21,39.2336,42.8634,58.46,75,0,3.11
246,Duku,NG,2021-07-14 02:10:21,11.2361,4.9073,73.38,91,93,5.03
247,Zabid,YE,2021-07-14 02:10:21,14.1951,43.3152,85.98,64,100,2.68
248,Caravelas,BR,2021-07-14 02:10:21,-17.7125,-39.2481,70.92,85,0,5.59
249,Nola,IT,2021-07-14 02:10:22,40.922,14.5329,75.54,68,80,6.42
250,Opuwo,NA,2021-07-14 02:10:22,-18.0607,13.84,53.87,31,0,9.08
251,Aksu,CN,2021-07-14 02:10:22,41.1231,80.2644,76.39,36,88,3.8
252,Kano,NG,2021-07-14 02:09:14,12.0001,8.5167,76.51,75,90,6.82
253,Udachnyy,RU,2021-07-14 02:10:22,66.4167,112.4,52.41,79,94,18.79
254,Itacoatiara,BR,2021-07-14 02:10:22,-3.1431,-58.4442,76.42,83,34,1.45
255,Wad Rawah,SD,2021-07-14 02:10:23,15.1603,33.1397,83.84,59,99,18.75
256,Sakaide,JP,2021-07-14 02:10:23,34.3167,133.85,88.83,76,44,0.72
257,Kununurra,AU,2021-07-14 02:10:24,-15.7667,128.7333,82.38,26,98,4.61
258,Boffa,GN,2021-07-14 02:10:24,10.1667,-14.0333,75.13,94,100,2.73
259,Kankaanpaa,FI,2021-07-14 02:10:24,61.8,22.4167,61.81,78,0,3.13
260,Anadyr,RU,2021-07-14 02:10:24,64.75,177.4833,68.5,60,0,6.71
