City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Saint-Philippe,RE,-21.3585,55.7679,69.35,77,36,11.92,scattered clouds
214,Ulladulla,AU,-35.35,150.4667,55.09,63,4,12.55,clear sky
215,Itarema,BR,-2.9248,-39.9167,81.09,65,23,16.33,few clouds
216,Cururupu,BR,-1.8283,-44.8683,83.26,66,71,3.96,broken clouds
217,Buenos Aires,AR,-34.6132,-58.3772,58.73,91,90,5.75,overcast clouds
218,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,10.36,broken clouds
219,Taoudenni,ML,22.6783,-3.9836,106.21,5,47,10.92,scattered clouds
220,Oyama,JP,36.3,139.8,80.04,78,98,4.47,overcast clouds
221,Verkhnyaya Balkariya,RU,43.1279,43.4573,63.52,90,68,2.01,broken clouds
222,Cap Malheureux,MU,-19.9842,57.6142,70.29,62,5,5.99,clear sky
223,Eyl,SO,7.9803,49.8164,77.2,70,4,21.63,clear sky
224,Belmonte,BR,-15.8631,-38.8828,71.6,81,71,10.51,broken clouds
225,Mirnyy,RU,62.5353,113.9611,61.84,63,20,3.22,few clouds
226,Dalbandin,PK,28.8947,64.4101,97.11,10,12,5.73,few clouds
227,Khandyga,RU,62.6667,135.6,56.57,94,63,2.66,broken clouds
228,Bud,US,39.447,-86.1758,88.21,74,35,3.22,scattered clouds
229,Powell River,CA,49.8496,-124.5361,82.04,60,20,6.91,few clouds
230,Naryan-Mar,RU,67.6713,53.087,40.71,88,46,12.93,scattered clouds
231,Contamana,PE,-7.3333,-75.0167,95.63,30,67,1.21,broken clouds
232,Am Timan,TD,11.0297,20.2827,73.89,81,100,4.74,overcast clouds
233,La Ronge,CA,55.1001,-105.2842,71.82,46,75,9.22,broken clouds
234,Staszow,PL,50.5631,21.1659,70.7,66,84,8.88,broken clouds
235,Ndele,CF,8.4109,20.6473,71.58,97,100,4.18,light rain
236,Okmulgee,US,35.6234,-95.9605,99.32,44,1,6.91,clear sky
237,Oistins,BB,13.0667,-59.5333,84.29,79,20,11.5,few clouds
238,Tammisaari,FI,59.9736,23.4339,69.73,76,14,5.88,few clouds
239,Manadhoo,MV,5.7667,73.3833,81.91,78,100,18.99,overcast clouds
240,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,68,0,18.41,clear sky
241,Ola,RU,59.5833,151.2833,54.01,95,100,4.43,light rain
242,Maceio,BR,-9.6658,-35.7353,72.84,94,75,5.75,broken clouds
243,Khislavichi,RU,54.1871,32.1582,62.51,75,18,4.21,few clouds
244,Nizhniy Kuranakh,RU,58.8353,125.4869,58.57,87,98,1.66,overcast clouds
245,Hyeres,FR,43.1167,6.1167,79.48,55,0,3.44,clear sky
246,Noumea,NC,-22.2763,166.4572,69.01,99,66,6.73,broken clouds
247,Slave Lake,CA,55.2834,-114.769,66.18,68,1,4.61,clear sky
